curp,desviacion_patrimonio,red_flag_desviacion,prop,red_flag_lib_fin
MABG880226MHGRLR03,3,TRUE,NA,FALSE
URKR730105MAGRRC07,2.17127357638163,TRUE,0,FALSE
SAZR870019MAGMBB03,1.4381233381512566,TRUE,0,FALSE
CAGS850210HVZSML03,1.3538602993504016,TRUE,0,FALSE
LOBB740115MAGYRR04,1.322762967934161,TRUE,0,FALSE
MEVS800022HSNZLL06,1.2667574210912211,TRUE,0,FALSE
RUDV820623HSNLMC02,1.2504947781871327,TRUE,0,FALSE
FICM790609MDFLRR03,1.200563070641811,TRUE,NA,FALSE
FICM790609MDFLRR03,1.200563070641811,TRUE,NA,FALSE
PIRE810922MAGCMundefined01,1.1987422502634568,TRUE,0,FALSE
ANVE810020MVZGRN07,1.185816005248453,TRUE,0,FALSE
LOCA820514HPUNHF05,1.165900940984575,TRUE,0,FALSE
QUBA750926MDFNLM03,1.1542918466142011,TRUE,0,FALSE
MAOY860925HSNTDR08,1.0681202699622563,TRUE,0,FALSE
GACA820803HAGLRC09,1.042483135992325,TRUE,0,FALSE
LUPJ750305HVZVLS03,1.0415462586172486,TRUE,0,FALSE
MARG900821HDFCVS05,1.0357205879720286,TRUE,NA,FALSE
MEAF720316HPULNR05,1.022367716830507,TRUE,0,FALSE
CUOM840404HAGLMG09,1.0166774752345968,TRUE,0,FALSE
ROCA900530MYNDLL04,1,FALSE,NA,FALSE
CABA760016HDFRZX01,0.9995978952936547,FALSE,0,FALSE
MOBM830715HSNNNR05,0.9901306828561142,FALSE,0,FALSE
VAOE880222HDFLDR05,0.9854340999541553,FALSE,0,FALSE
GOGE860003HVZLVL03,0.9541021765012776,FALSE,0,FALSE
SEPG880625MPURDB06,0.9322073444960028,FALSE,0,FALSE
VAQT720422HDFLVD08,0.8898469349042222,FALSE,0,FALSE
MAAR750426HPUDCM01,0.8833173431493483,FALSE,0,FALSE
VAQT720422HDFLVD08,0.8692083244235054,FALSE,0,FALSE
VEVF840027MDFRLR02,0.8572282690984838,FALSE,0,FALSE
CRIE700217MAGRRT04,0.8351535760158587,FALSE,0,FALSE
ESBA850412MVZCRL02,0.8298352656423942,FALSE,0,FALSE
LEPM890803HPUYRX02,0.827174389658637,FALSE,0,FALSE
ROPC880104MSNLRN03,0.824287435416745,FALSE,0,FALSE
CEKM740019HSNNNR09,0.817726676947074,FALSE,0,FALSE
MAME730511MAGCNS03,0.8153867205088917,FALSE,0,FALSE
CAAM820521MSNVRR05,0.8101461145353674,FALSE,0,FALSE
URAR880006MPURYS02,0.8086160399197879,FALSE,0,FALSE
ALLS720504HDFMBL06,0.7994318791598659,FALSE,0,FALSE
MACX741118HVZDRM09,0.7927750065525873,FALSE,0,FALSE
